region_id,start_date,end_date,region_type,cycle,level,label_freq,confidence,usable_for_signal,entry_start,entry_end,exit_start,exit_end,reason,notes
B202001_weekly_medium_01,2020-01-20,2020-02-07,bottom,medium,swing,weekly,2,1,2020-01-20,2020-02-07,,,,
T202002_weekly_medium_01,2020-02-24,2020-03-06,top,medium,swing,weekly,2,1,,,2020-02-24,2020-03-06,,
B202003_weekly_medium_01,2020-03-30,2020-04-17,bottom,medium,swing,weekly,2,1,2020-03-30,2020-04-17,,,,
B202007_weekly_medium_01,2020-07-06,2020-08-28,top,medium,swing,weekly,2,1,,,2020-07-06,2020-08-28,,
B202102_weekly_medium_01,2021-02-01,2021-02-19,bottom,medium,swing,weekly,2,1,2021-02-01,2021-02-19,,,,
T202109_weekly_medium_01,2021-09-06,2021-09-24,top,medium,swing,weekly,2,1,,,2021-09-06,2021-09-24,,
B202110_weekly_medium_01,2021-10-11,2021-11-05,bottom,medium,swing,weekly,2,1,2021-10-15,2021-11-05,,,,
T202111_weekly_medium_01,2021-11-29,2021-12-31,top,long,swing,weekly,2,1,,,2021-11-29,2021-12-31,,
B202204_weekly_medium_01,2022-04-25,2022-05-06,bottom,medium,swing,weekly,2,1,2022-04-25,2022-05-06,,,,
T202207_weekly_medium_01,2022-07-25,2022-08-26,top,medium,swing,weekly,2,1,,,2022-07-25,2022-08-26,,
B202209_weekly_medium_01,2022-09-26,2022-10-14,bottom,medium,swing,weekly,2,1,2022-09-26,2022-10-14,,,,
T202211_weekly_medium_01,2022-11-07,2022-12-02,top,medium,swing,weekly,2,1,,,2022-11-07,2022-12-02,,
B202212_weekly_medium_01,2022-12-19,2022-12-30,bottom,medium,swing,weekly,2,1,2022-12-19,2022-12-30,,,,
T202302_weekly_medium_01,2023-02-13,2023-03-10,top,medium,swing,weekly,2,1,,,2023-02-13,2023-03-10,,
T202304_weekly_medium_01,2023-04-03,2023-04-21,top,medium,swing,weekly,2,1,,,2023-04-03,2023-04-21,,
T202401_weekly_medium_01,2024-01-29,2024-02-08,top,medium,swing,weekly,2,1,,,2024-01-29,2024-02-08,,
T202403_weekly_medium_01,2024-03-18,2024-04-03,top,medium,swing,weekly,2,1,,,2024-03-18,2024-04-03,,
B202408_weekly_medium_01,2024-08-19,2024-09-27,bottom,medium,swing,weekly,2,1,2024-08-19,2024-09-27,,,,
T202411_weekly_medium_01,2024-11-25,2024-12-20,top,medium,swing,weekly,2,1,,,2024-11-25,2024-12-20,,
B202412_weekly_medium_01,2024-12-30,2025-01-10,bottom,medium,swing,weekly,2,1,2024-12-30,2025-01-10,,,,
T202502_weekly_medium_01,2025-02-24,2025-03-21,top,medium,swing,weekly,2,1,,,2025-02-24,2025-03-21,,
B202504_weekly_medium_01,2025-04-07,2025-04-18,bottom,medium,swing,weekly,2,1,2025-04-07,2025-04-18,,,,
B202506_weekly_medium_01,2025-06-09,2025-06-20,bottom,medium,swing,weekly,2,1,2025-06-09,2025-06-20,,,,
T202508_weekly_medium_01,2025-08-25,2025-09-26,top,medium,swing,weekly,2,1,,,2025-08-25,2025-09-26,,
B202511_weekly_medium_01,2025-11-17,2025-12-19,bottom,medium,swing,weekly,2,1,2025-11-17,2025-12-19,,,,
T202601_weekly_medium_01,2026-01-19,2026-01-30,top,short,swing,weekly,2,1,,,2026-01-19,2026-01-30,,
B202602_weekly_medium_01,2026-02-02,2026-02-13,bottom,medium,swing,weekly,2,1,2026-02-06,2026-02-13,,,,
T202602_weekly_medium_01,2026-02-23,2026-03-06,top,medium,swing,weekly,2,1,,,2026-02-23,2026-03-06,,
B202603_weekly_medium_01,2026-03-23,2026-04-03,bottom,medium,swing,weekly,2,1,2026-03-23,2026-04-03,,,,
T202605_weekly_medium_01,2026-05-11,2026-05-22,top,medium,swing,weekly,2,1,,,2026-05-11,2026-05-22,,
B202606_weekly_medium_01,2026-06-08,2026-06-12,bottom,medium,swing,weekly,2,1,2026-06-08,2026-06-12,,,,
