region_id,start_date,end_date,region_type,cycle,level,label_freq,confidence,usable_for_signal,entry_start,entry_end,exit_start,exit_end,reason,notes
B201905_daily_short_01,2019-05-09,2019-06-06,bottom,short,swing,daily,2,1,2019-05-09,2019-06-06,,,,
B201907_daily_short_01,2019-08-05,2019-08-12,bottom,medium,swing,daily,2,1,2019-08-06,2019-08-09,,,candidate_bottom,大模型辅助候选，需人工确认 pivot=2019-08-06|future_window=15d|future_max_ret=7.49%|prior_drawdown=-7.37%|below_boll_2|rsi6=5.7
T201909_daily_short_01,2019-09-09,2019-09-18,top,short,swing,daily,2,1,,,2019-09-16,2019-09-16,,
B201911_daily_short_01,2019-11-22,2019-12-04,bottom,short,swing,daily,2,1,2019-11-25,2019-11-29,,,,
B202001_daily_short_01,2020-02-03,2020-02-05,bottom,short,swing,daily,2,1,2020-02-04,2020-02-04,,,candidate_bottom|covid,大模型辅助候选，需人工确认 pivot=2020-02-04|future_window=15d|future_max_ret=22.93%|prior_drawdown=-12.47%|below_boll_2|rsi6=12.0
T202002_weekly_short_01,2020-02-19,2020-03-02,top,short,swing,monthly,2,1,,,2020-02-26,2020-02-27,candidate_top|weekly_boll_upper|monthly_boll_upper,大模型辅助候选，需人工确认 pivot=2020-02-25|future_window=15d|future_min_ret=-11.93%|prior_rise=19.80%|rsi6=90.6
B202003_daily_long_01,2020-03-17,2020-03-31,bottom,long,major,daily,2,1,2020-03-19,2020-03-20,,,,
T202007_weekly_long_01,2020-07-09,2020-08-20,top,long,swing,weekly,2,1,,,2020-07-14,2020-08-20,candidate_top,大模型辅助候选，需人工确认 pivot=2020-08-06|future_window=40d|future_min_ret=-11.87%|prior_rise=23.32%|rsi6=88.0
T202007_weekly_medium_01,2020-07-09,2020-08-20,top,medium,swing,daily,2,1,,,2020-07-23,2020-08-06,candidate_top,大模型辅助候选，需人工确认 pivot=2020-08-06|future_window=40d|future_min_ret=-11.87%|prior_rise=23.32%|rsi6=88.0
T202007_daily_medium_01,2020-07-09,2020-08-20,top,medium,swing,weekly,2,1,,,2020-07-23,2020-08-06,candidate_top,大模型辅助候选，需人工确认 pivot=2020-08-06|future_window=40d|future_min_ret=-11.87%|prior_rise=23.32%|rsi6=88.0
B202007_daily_short_01,2020-07-10,2020-10-09,bottom,short,swing,daily,2,1,2020-09-09,2020-09-29,,,,
B202101_daily_short_01,2021-01-07,2021-01-26,top,short,swing,daily,2,1,,,2021-01-07,2021-01-26,,
B202106_daily_short_01,2021-06-11,2021-06-18,bottom,short,swing,daily,2,1,2021-06-16,2021-06-17,,,,
B202107_daily_short_01,2021-07-02,2021-07-07,bottom,short,swing,daily,2,1,2021-07-02,2021-07-07,,,,
B202107_daily_short_02,2021-07-28,2021-07-29,bottom,short,swing,daily,2,1,2021-07-28,2021-07-29,,,,
B202109_daily_medium_01,2021-09-03,2021-09-15,top,medium,swing,daily,2,1,,,2021-09-10,2021-09-14,volume_shrink,
T202110_monthly_long_01,2021-11-10,2021-11-30,bottom,short,major,monthly,2,1,2021-11-10,2021-11-30,,,candidate_top,大模型辅助候选，需人工确认 pivot=2021-11-30|future_window=120d|future_min_ret=-34.61%|prior_rise=20.70%|rsi6=85.6
B202112_daily_short_01,2021-12-09,2021-12-16,top,short,swing,daily,2,1,,,2021-12-09,2021-12-16,,
B202203_daily_short_01,2022-03-15,2022-03-17,bottom,short,swing,daily,2,1,2022-03-15,2022-03-17,,,oversold_rebound,
T202203_daily_short_01,2022-03-22,2022-03-25,top,medium,swing,daily,2,1,,,2022-03-22,2022-03-25,,
B202204_monthly_short_01,2022-04-21,2022-05-06,bottom,short,swing,monthly,2,1,2022-04-25,2022-04-28,,,candidate_bottom|monthly_boll_lower,大模型辅助候选，需人工确认 pivot=2022-04-27|future_window=15d|future_max_ret=14.49%|prior_drawdown=-16.35%|rsi6=20.3
B202206_daily_short_01,2022-06-28,2022-07-05,top,short,swing,daily,2,1,,,2022-06-28,2022-07-05,,
B202210_daily_short_01,2022-10-27,2022-11-02,bottom,short,swing,daily,2,1,2022-10-28,2022-10-29,,,,
B202301_daily_short_01,2023-01-16,2023-01-31,top,short,swing,daily,2,1,,,2023-01-16,2023-01-31,,
T202304_daily_short_01,2023-04-03,2023-04-17,top,short,swing,daily,2,1,,,2023-04-03,2023-04-10,,
T202306_daily_short_01,2023-06-15,2023-06-21,top,short,swing,daily,2,1,,,2023-06-16,2023-06-17,,
B202307_daily_short_01,2023-07-31,2023-08-07,top,short,swing,daily,2,1,,,2023-07-31,2023-08-07,,
B202401_daily_short_01,2024-01-30,2024-02-19,bottom,short,swing,daily,2,1,2024-02-02,2024-02-05,,,candidate_bottom,大模型辅助候选，需人工确认 pivot=2024-02-05|future_window=15d|future_max_ret=26.44%|prior_drawdown=-22.50%|below_boll_2|rsi6=0.0
T202403_daily_short_01,2024-03-18,2024-03-22,top,short,swing,daily,2,1,,,2024-03-22,2024-03-22,,
B202404_daily_short_01,2024-04-15,2024-04-24,bottom,short,swing,daily,2,1,2024-04-16,2024-04-17,,,,
B202405_weekly_long_01,2024-05-07,2024-05-17,top,long,major,weekly,2,1,,,2024-05-10,2024-05-11,,
B202409_daily_short_01,2024-09-10,2024-09-24,bottom,short,swing,weekly,2,1,2024-09-18,2024-09-24,,,candidate_bottom,大模型辅助候选，需人工确认 pivot=2024-09-18|future_window=15d|future_max_ret=40.98%|prior_drawdown=-4.97%|rsi6=9.0
T202409_weekly_short_01,2024-09-30,2024-10-10,top,short,swing,weekly,2,1,,,2024-09-30,2024-10-08,weekly_boll_upper,
B202411_daily_short_01,2024-11-27,2024-11-29,bottom,short,swing,daily,2,1,2024-11-29,2024-11-29,,,,
T202412_daily_short_01,2024-12-10,2024-12-13,top,short,swing,daily,2,1,,,2024-12-11,2024-12-12,,
B202501_daily_short_01,2025-01-06,2025-01-14,bottom,medium,swing,weekly,2,1,2025-01-06,2025-01-10,,,,
T202503_weekly_medium_01,2025-03-11,2025-03-20,top,medium,swing,weekly,2,1,,,2025-03-11,2025-03-20,,
B202504_weekly_short_01,2025-04-07,2025-04-14,bottom,long,swing,weekly,2,1,2025-04-07,2025-04-14,,,,
T202505_daily_short_01,2025-05-12,2025-05-22,top,short,swing,daily,2,1,,,2025-05-12,2025-05-22,,
B202506_daily_short_01,2025-06-19,2025-06-24,bottom,short,swing,daily,2,1,2025-06-19,2025-06-24,,,,
T202508_daily_long_01,2025-08-26,2025-09-05,top,long,minor,daily,2,1,,,2025-09-01,2025-09-02,,
B202511_daily_short_01,2025-11-20,2025-11-26,bottom,short,swing,daily,2,1,2025-11-20,2025-11-26,,,,
T202601_daily_short_01,2026-01-05,2026-01-14,top,short,swing,daily,2,1,,,2026-01-05,2026-01-14,,
B202602_daily_short_01,2026-02-02,2026-02-06,bottom,short,swing,daily,2,1,2026-02-02,2026-02-06,,,,
T202602_daily_short_01,2026-02-26,2026-03-02,top,short,swing,daily,2,1,,,2026-02-26,2026-03-02,,
B202603_daily_short_01,2026-03-20,2026-03-26,bottom,short,swing,daily,2,1,2026-03-20,2026-03-26,,,,
T202605_daily_short_01,2026-05-08,2026-05-18,top,short,swing,daily,2,1,,,2026-05-08,2026-05-18,,
