region_id,start_date,end_date,region_type,cycle,level,label_freq,confidence,usable_for_signal,entry_start,entry_end,exit_start,exit_end,reason,notes
T201803_weekly_medium_01,2018-03-05,2018-03-16,top,medium,swing,weekly,2,1,,,2018-03-05,2018-03-16,,
B201804_weekly_medium_01,2018-04-16,2018-05-04,bottom,medium,swing,weekly,2,1,2018-04-16,2018-05-04,,,,
T201805_weekly_medium_01,2018-05-14,2018-05-25,top,medium,swing,weekly,2,1,,,2018-05-14,2018-05-25,,
B201808_weekly_short_01,2018-08-27,2018-09-14,bottom,short,swing,weekly,2,1,2018-08-27,2018-09-14,,,,
T201809_weekly_medium_01,2018-09-24,2018-10-12,top,medium,swing,weekly,2,1,,,2018-09-24,2018-10-12,,
B201812_weekly_medium_01,2018-12-17,2019-01-04,bottom,medium,swing,weekly,2,1,2018-12-21,2019-01-04,,,,
B201903_weekly_medium_01,2019-03-04,2019-03-08,bottom,medium,swing,weekly,2,1,2019-03-07,2019-03-08,,,,
B201903_weekly_medium_02,2019-03-04,2019-03-08,bottom,medium,swing,weekly,2,1,2019-03-08,2019-03-08,,,,
T201904_weekly_medium_01,2019-04-08,2019-04-19,top,medium,swing,weekly,2,1,,,2019-04-08,2019-04-19,,
B201905_weekly_medium_01,2019-05-27,2019-06-14,bottom,medium,swing,weekly,2,1,2019-05-27,2019-06-14,,,,
T201907_weekly_medium_01,2019-07-01,2019-07-12,top,medium,swing,weekly,2,1,,,2019-07-01,2019-07-12,,
B201908_weekly_medium_01,2019-08-05,2019-08-16,bottom,medium,swing,weekly,2,1,2019-08-09,2019-08-16,,,,
B201912_weekly_medium_01,2019-12-30,2020-01-17,top,short,swing,weekly,2,1,,,2019-12-30,2020-01-17,,
B202002_weekly_medium_01,2020-02-03,2020-02-07,bottom,medium,swing,weekly,2,1,2020-02-03,2020-02-07,,,,
T202002_weekly_medium_01,2020-02-24,2020-03-06,top,medium,swing,weekly,2,1,,,2020-02-24,2020-03-06,,
B202003_weekly_medium_01,2020-03-16,2020-03-27,bottom,medium,swing,weekly,2,1,2020-03-23,2020-03-27,,,,
T202101_weekly_short_01,2021-01-04,2021-01-15,top,short,swing,weekly,2,1,,,2021-01-04,2021-01-15,,
B202101_weekly_short_01,2021-01-25,2021-02-05,bottom,short,swing,weekly,2,1,2021-01-29,2021-02-05,,,,
T202102_weekly_long_01,2021-02-08,2021-02-19,top,long,swing,weekly,2,1,,,2021-02-08,2021-02-19,,
B202103_weekly_medium_01,2021-03-15,2021-05-14,bottom,medium,swing,weekly,2,1,2021-03-15,2021-05-14,,,,
T202105_weekly_medium_01,2021-05-24,2021-06-04,top,medium,swing,weekly,2,1,,,2021-05-24,2021-06-04,,
T202112_weekly_medium_01,2021-12-06,2021-12-17,top,medium,swing,weekly,2,1,,,2021-12-06,2021-12-17,,
B202204_weekly_medium_01,2022-04-25,2022-05-13,bottom,medium,swing,weekly,2,1,2022-04-25,2022-05-13,,,,
T202206_weekly_medium_01,2022-06-20,2022-07-08,top,medium,swing,weekly,2,1,,,2022-06-20,2022-07-08,,
B202210_weekly_medium_01,2022-10-24,2022-11-04,bottom,medium,swing,weekly,2,1,2022-10-28,2022-11-04,,,,
T202212_weekly_short_01,2022-12-05,2022-12-09,top,short,swing,weekly,2,1,,,2022-12-05,2022-12-09,,
B202212_weekly_medium_01,2022-12-19,2022-12-30,bottom,medium,swing,weekly,2,1,2022-12-23,2022-12-30,,,,
T202301_weekly_medium_01,2023-01-16,2023-02-03,top,medium,swing,weekly,2,1,,,2023-01-16,2023-02-03,,
T202307_weekly_medium_01,2023-07-24,2023-08-04,top,medium,swing,weekly,2,1,,,2023-07-24,2023-08-04,,
B202401_weekly_medium_01,2024-01-29,2024-02-08,bottom,medium,swing,weekly,2,1,2024-02-02,2024-02-08,,,,
T202403_weekly_short_01,2024-03-04,2024-03-22,top,short,swing,weekly,2,1,,,2024-03-04,2024-03-22,,
B202404_weekly_medium_01,2024-04-08,2024-04-19,bottom,medium,swing,weekly,2,1,2024-04-12,2024-04-19,,,,
T202405_weekly_medium_01,2024-05-13,2024-05-24,top,medium,swing,weekly,2,1,,,2024-05-13,2024-05-24,,
B202409_weekly_medium_01,2024-09-09,2024-09-20,bottom,medium,major,weekly,2,1,2024-09-09,2024-09-20,,,,
T202410_weekly_medium_01,2024-10-07,2024-10-11,top,medium,major,weekly,2,1,,,2024-10-07,2024-10-08,,
B202501_weekly_medium_01,2025-01-06,2025-01-17,bottom,medium,swing,weekly,2,1,2025-01-06,2025-01-17,,,,
T202503_weekly_medium_01,2025-03-10,2025-03-21,top,medium,swing,weekly,2,1,,,2025-03-10,2025-03-21,,
B202504_weekly_medium_01,2025-04-07,2025-04-11,bottom,medium,swing,weekly,2,1,2025-04-07,2025-04-11,,,,
B202505_weekly_long_01,2025-05-26,2025-06-20,bottom,long,major,weekly,2,1,2025-05-26,2025-06-20,,,,
T202509_weekly_medium_01,2025-09-01,2025-09-30,top,medium,swing,weekly,2,1,,,2025-09-01,2025-09-30,,
B202511_weekly_medium_01,2025-11-17,2025-11-28,bottom,medium,swing,weekly,2,1,2025-11-21,2025-11-28,,,,
T202601_weekly_medium_01,2026-01-05,2026-01-23,top,medium,swing,weekly,2,1,,,2026-01-09,2026-01-23,,
B202603_weekly_medium_01,2026-03-23,2026-04-03,bottom,medium,swing,weekly,2,1,2026-03-23,2026-04-03,,,,
T202605_weekly_medium_01,2026-05-11,2026-05-29,top,medium,swing,weekly,2,1,,,2026-05-11,2026-05-29,,
